project_name,project_by,location,status,project_desciption,possesion_date,area,unit_type,Super_builduparea,Builder_price,Apartment,total_unit,rera_id
Unishire Indira Elan,Unishire Projects Pvt Ltd,Thanisandra,Under Construction,"Unishire Group, a Karnataka based real estate firm, has launched Indira Elan in Thanisandra, Bangalore. All of them are developed by Unishire group of companies over an area of 3 acres. Numerous amenities are offered at Indira Elan to improve the standard of your life, including basketball court, community hall, Wi-Fi connectivity, lifts/elevators, one tank overhead to store bore-well water, clubhouse, 24X7 security, ample space for car parking, rain water harvesting system, well-featured play area for kids, well-equipped gymnasium and a lot more. As Indira Elan is located in Thanisandra, Bangalore, it can easily be accessed from Nagavara Circle and close to the Outer Ring Road. All this together makes Indira Elan apartments a project worth investing in.",Possession date: Jul'22,1471 sq ft(3BHK+3T),3 BHK,"936 - 1,471 sq ft",₹ 45.40 L - ₹ 71.34 L,"2, 3 BHK",230,
Unishire Terraza,Unishire Projects Pvt Ltd,Thanisandra,Under Construction,"Unishire Terraza is a residential project which offers simplex homes having private terraces with triple sided open spaces. Each apartment here is designed in a way which will provide good ventilation. The rooms have enough space and have good lightening systems. It is located at Thanisandra in Bangalore. The location is highly developed with lots of facilities like schools, malls, hospitals etc. The location is basic and has various important destinations across it. One who loves to live at a place with environmental beauty can avail the opportunity.The infrastructure is beautifully designed as it offers good living space with French windows and good architecture work.",Possession date: Dec'18,2516 sq ft(4BHK+4T),4 BHK,"1,420 - 2,516 sq ft",₹ 1.06 Cr - ₹ 1.21 Cr,"2, 3, 4 BHK",182,
DS Star Nest,DS Max Properties,Kengeri,Under Construction,"Kengeri in Bengaluru has ready to move in project of premium apartments by the DS Max Star Nest Real Estate Company. The neighbourhood is well settled with schools, banks, ATMs, hospitals, office complex, play schools, bus stands and restaurants etc. Other amenities that this project offers are a nice landscape, well-maintained sewage lines, a gym, rainwater harvesting system, 24x7 security services, a jogging track and a children’s playground area. The price of the apartments is based on request.",Possession date: Aug'19,1532 sq ft(3BHK+3T),3 BHK,"797 - 1,532 sq ft",₹ 25.70 L - ₹ 32.65 L,"2, 3 BHK",132,RERA ID: PR/KN/170824/001429
Habitat Iluminar,Habitat,Kengeri,Under Construction,,Possession date: Dec'20,1432 sq ft(3BHK+3T),3 BHK,"999 - 1,432 sq ft",₹ 43.66 L - ₹ 62.58 L,"2, 3 BHK",412,RERA ID: PR/KN/170728/000183
Platina Exotica,Platina Venture,Kengeri,Under Construction,"Platina Exotica by Platina Venture is located in Kengeri Bangalore. Current status of properties in Platina Exotica are Under Construction. Platina Exotica renders purity and perfection where life manifests itself in ways that has rarely been explored before. Platina Exotica in Kengeri offers the choice of 2 BHK, 3 BHK options that are meticulously designed and exclusively planned with world class amenities and top line specifications. Platina Exotica by Platina Venture offers a total of 200 well-planned and perfectly-designed units. Dwellers will admire the exquisite properties as it includes a multitude of high-end features and many gorgeous amenities like Multipurpose Room, Car Parking, Maintenance Staff, Sports Facility, Jogging Track, Intercom. Come and explore what living at Platina Exotica is all about. We assure you that the properties in Platina Venture Platina Exotica will complement your style of living. Loan sanction is easily available from leading banks like LIC, Axis Bank.",Possession date: Dec'18,1692 sq ft(3BHK+3T),3 BHK,"1,015 - 1,692 sq ft",₹ 40.60 L - ₹ 67.68 L,"2, 3 BHK",112,
Pioneer Kingstown,Pioneer Developers,Kudlu,Under Construction,"Launched by Pioneer Developers, Kingstown, is a premium housing project located at Kudlu in Bangalore. Offering 2, 3 BHK Apartment in Hosur Road are available from 1205 sqft to 1682 sqft. This project hosts amenities like Swimming Pool, Video Door Phone, Landscaped Gardens, Yoga and Meditation, Half Basketball Court etc. Available at attractive price points starting at @Rs 4,099 per sqft, the Apartment are available for sale from Rs 49.39 lacs to Rs 68.95 lacs. The project is Under Construction project and possession in Feb 19.",Possession date: Feb'19,1682 sq ft(3BHK+3T),3 BHK,"1,205 - 1,682 sq ft",₹ 49.39 L - ₹ 68.95 L,"2, 3 BHK",81,RERA ID: PR/KN/170731/000266
RS Sanchike,RS Properties Bangalore,Kengeri,Under Construction,"Sanchike is launched by RS Properties and is located in Kengeri, Bengaluru. The amenities include a gymnasium, a swimming pool, a children’s play area, a club house, a multipurpose room, a sports facility, a rainwater harvesting, an intercom, 24x7 security, a jogging track, a power backup, landscaped gardens, an indoor games provision, a maintenance staff, a car parking, a lift and several others. This town in Bengaluru has some famous attractions like Anjaneya Temple, The Veerashaivas and Savan Durbar Ashram of Radhaswamy Satsang and Nithyananda Dyana Ashram. Kengeri offers good connectivity to major areas in the city and is only 1.5 kilometers away from Bengaluru. The Mysore Road is crucial in connecting this area to other parts of Bengaluru. Though it’s on outskirt of Kengeri and promotes a host of reputed educational institutions. The average property price in Kengeri is Rs3, 255 per square feet. 78020Sahil Developers has launched Anand and is located in Katraj, Pune. This house community hosts amenities such as a children’s play area, a rainwater harvesting, 24x7 security, a power backup, landscaped gardens, a maintenance staff, a car parking, a lift, gated community, a meditation area, a jogging track, a paved compound, firefighting system, a conference room, internal roads and few others. Strategically situated in the Pune Link Road, Katraj. It boasts smooth connectivity to the prominent areas of the locality. The Central Railway Station is at a distance of 13 kilometers. The average real estate price in this area is Rs. 4, 233 per square feet. ACME Landmark, Gagan Properties, Anshul Realties, Amit Housing etc. are the key developers of this locality.",Possession date: Sep'19,1670 sq ft(3BHK+3T + Servant Room),3 BHK,"1,118 - 1,670 sq ft",₹ 40.25 L - ₹ 60.12 L,"2, 3 BHK",120,
Meda Greens,Meda Group,Kengeri,Under Construction,"Greens launched by Meda Structures is located at Kengeri in Bengaluru. It offers 2 and 3 BHK apartments to buyers. The amenities included a gymnasium, a swimming pool, a children play area, a club house, a multipurpose room, a jogging track, a power backup provision, landscaped gardens, a car parking area and an elevator. This town in Bengaluru has some famous attractions like Anjaneya Temple, The Veerashaivas and Savan Durbar Ashram of Radhaswamy Satsang and Nithyananda Dyana Ashram. Kengeri offers good connectivity to major areas in the city and is only 1.5 kilometres away from Bengaluru. The Mysore Road is crucial in connecting this area to other parts of Bengaluru. Though its an outskirt, Kengeri boasts a host of reputed educational institutions.",Possession date: Jul'19,1718 sq ft(3BHK+3T),3 BHK,"1,190 - 1,718 sq ft",₹ 45.22 L - ₹ 65.28 L,"2, 3 BHK",260,RERA ID: PR/KN/170731/000831
DS Satellite,DS Max Properties,Kengeri,Under Construction,,Possession date: Sep'20,1366 sq ft(3BHK+3T),3 BHK,"786 - 1,366 sq ft",₹ 26.34 L - ₹ 30.27 L,"2, 3 BHK",144,RERA ID: PR/KN/170831/001819
Vaishnavi North 24,Vaishnavi Group Bangalore,Hebbal,Under Construction,"The Vaishnavi North 24 Company has built up their excellent project in the Hebbal region of Bengaluru. This organization offers premium apartments. The locality is well settled with all kinds of facilities available within a kilometre like hospital, banking, ATM, petrol pump, bus station, school, play school, restaurant, and train station school for higher secondary education, park, metro station etc. The project offers many amenities like gym, club house, intercom, security system, power back up and much more. The entire project is all set for moving in purpose. The area of the apartments is based on the request value along with the price of each and every apartment.",Possession date: Dec'19,1939 sq ft(3BHK+3T),3 BHK,"1,160 - 1,939 sq ft",₹ 73.08 L - ₹ 1.22 Cr,"2, 3 BHK",116,RERA ID: PR/KN/170811/001266
DS Smart Nest,DS Max Properties,Hesaraghatta,Under Construction,"Smart Nest by DS Max, located in Hesaraghatta, Bangalore, offers apartments. Situated in the suburbs of north Bangalore, Hesaraghatta is one of the most popular localities to have property in the region. The key builders include Janapriya, Mahaveer, DS Max, Paschim Developers, Hiland Realty and Kadam Group.There are numerous educational institutions, public and private hospitals, shopping zones, and recreational centres in the vicinity. Mahaveer Desire and Janapriya Greenwood are other major projects of this area. This residential hotspot has become a favourite destination for realty investors.",Possession date: Nov'18,1326 sq ft(3BHK+2T),3 BHK,"734 - 1,326 sq ft",₹ 20.74 L,"1, 2, 3 BHK",180,
Banashree Arka Forest View,Banashree Shelters,Jigani,Under Construction,"Jigani region of Bengaluru is a developing region for the prosperity of real estate business. Banashree Shelters Arka Forest View Construction organization is offering premium apartments. The project is all set for moving in purpose. The required necessities like parks, petrol pumps, schools, restaurants, bus stations, ATMs, bank, hospitals etc in the neighbourhood. This neighbourhood of Bengaluru is very much popular as many other real estate companies have settled their business in this region. The project offers other amenities like intercom, a gym, swimming pool, a club house, security for 24 hours and power back up. The price of the apartments is based on the request value.",Possession date: Dec'18,1795 sq ft(3BHK+3T),3 BHK,"1,265 - 1,795 sq ft",₹ 44.27 L - ₹ 62.83 L,"2, 3 BHK",72,RERA ID: PR/KN/170801/000909
Unishire Verzure,Unishire Projects Pvt Ltd,Jakkur,Under Construction,"Jakkur region of Bangalore is a developing region for the prosperity of real estate business. Unishire Verzure Construction organization is offering great apartments. The project is all set for moving in purpose. The required necessities like park, petrol pump, school, restaurant, bus station, atm, bank, hospital etc in the neighbourhood. This neighbourhood of Bangalore is very much popular as many other real estate companies have settled their business in this region. The project offers other amenities like intercom, gym, swimming pool, club house, security for 24 hours and power back up. The cost of the apartments is based on the request value.",Possession date: Mar'20,1745 sq ft(3BHK+3T),3 BHK,"1,230 - 1,745 sq ft",₹ 63.89 L - ₹ 74.91 L,"2, 3 BHK",67,
Unishire The Weave,Unishire Projects Pvt Ltd,Jakkur,Under Construction,"Unishire the Weave real estate association has amazed the market by building the best housing place project in Jakkur region of Bangalore. This organization is offering great apartments of best quality. These apartments are all set for moving in purpose. The amenities offered by this company and housing complex are gym, swimming pool, a club house, an open auditorium, half basketball court, tennis court, skating rink, a playground for the children, and a nice green garden, 24 hours security and much more. The location has the benefit of other services like hospital, banking, atm, petrol pump, bus station, school, train station, restaurant, play school etc. at a very short distance. The cost of the apartments is depended on the request value.",Possession date: Jul'20,1779 sq ft(3BHK+3T),3 BHK,"1,086 - 1,779 sq ft",₹ 52.67 L - ₹ 86.28 L,"2, 3 BHK",182,
Prestige Boulevard,Prestige Group,Whitefield Hope Farm Junction,Under Construction,"White field Hope Farm Junction region of Bangalore is a developing region for the prosperity of real estate business. Prestige Boulevard Residency Construction organization is offering premium apartments. The project is all set for moving in purpose. The required necessities like park, petrol pump, school, restaurant, bus station, ATM, bank, hospital etc., are present in the neighbourhood. This neighbourhood of Bangalore is very much popular as many other real estate companies have settled their business in this region. The project offers other amenities like intercom, gym, swimming pool, club house, security for 24 hours and power backup. The price of the apartments is based on the request value.",Possession date: Dec'19,1638 sq ft(3BHK+3T),3 BHK,"1,043 - 1,638 sq ft",Price on request,"2, 3 BHK",144,RERA ID: PR/KN/170726/000057
SJR Vogue Residences,SJR PrimeCorp,Whitefield Hope Farm Junction,Under Construction,"SJR Primecorp Vogue Residences is a luxury apartment project in Whitefield Hope Farm Junction, Bangalaru. This is best option for those who look for luxury lining in the suburbs. Its having amenities like Power Backup, Indoor Games, Landscaped Gardens, 24 X 7 Security personal, Club House, Swimming Pool, Multipurpose Room, Gymnasium, Spa, Jacuzzi, Tennis Court and Kids Pool Deck.It is near to Bangalore IT hub and Bangalore city is just 15 KM away. The nearest connecting road to the city is the famous Green Fields Road. This area is surrounding by shopping malls, hospitals, banks, schools, railway station and bus station making it best for residential purpose.",Possession date: Dec'18,2632 sq ft(4BHK+4T + Study Room),4 BHK,"1,730 - 2,632 sq ft",₹ 1.02 Cr - ₹ 1.55 Cr,"3, 4 BHK",140,RERA ID: PR/KN/170811/001157
GK Tropical Springs,GK Shelters,Whitefield Hope Farm Junction,Under Construction,"In construction industry around the country with a commitment to excellence in service we deliver projects in a manner that reflects the values of clients. Introducing Tropical Springs a BBMP approved well planned 2/3 BHK Residential Apartments is located at White field next to ITPL Tropical Springs is designed as the perfect place for modern living, Combining quality and value with attention to detail and contemporary design. Tropical Springs is a striking architectural development of total 246 units.",Possession date: Sep'18,1650 sq ft(3BHK+3T),3 BHK,"1,119 - 1,650 sq ft",₹ 39.16 L - ₹ 57.75 L,"2, 3 BHK",151,RERA ID: PR/KN/170823/001418
Vaswani Exquisite,Vaswani Group,Whitefield Hope Farm Junction,Under Construction,"Vaswani has launched its premium housing project, Exquisite, in Whitefield Hope Farm Junction, Bangalore. The project offers 3, 4 BHK Apartment from 1735 sqft to 2850 sqft in Whitefield. Among the many luxurious amenities that the project hosts are Sauna, Steam, Convenience Store, Spa With Massage Room , Squash Court, Video Door Phone etc. Starting at @Rs 6,190 per sqft,Apartment are available for sale from Rs 1.07 crore to Rs 1.76 crore. Vaswani Exquisite is Under Construction project and possession in Dec 20.",Possession date: Dec'20,2850 sq ft(4BHK+4T + Servant Room),4 BHK,"1,820 - 2,850 sq ft",₹ 1.13 Cr - ₹ 1.76 Cr,"3, 4 BHK",420,RERA ID: PR/KN/170731/000784
SV SV Legacy,SV Constructions Bangalore,Whitefield Hope Farm Junction,Under Construction,"Located in Whitefield Hope Farm Junction, Bangalore, SV Legacy is a premium housing project launched by SV Constructions Bangalore. The project offers Apartment in 1, 2, 3 BHK configurations available from 821 sqft to 1473 sqft. These units in Whitefield, are available at an attractive price points starting at @Rs 4,999 per sqft and will be available to buyers at a starting price of Rs 41.04 lacs. The project is Under Construction project and possession in Sep 19. SV Legacy has many amenities, such as ATM, Wi-Fi Connectivity, Swimming Pool, Lift Available, Table Tennis And Tennis Court etc.",Possession date: Sep'19,1473 sq ft(3BHK+3T),3 BHK,"821 - 1,473 sq ft",₹ 37.77 L - ₹ 67.76 L,"1, 2, 3 BHK",270,RERA ID: PR/KN/170731/000670
United Elysium 2,United Developers,Whitefield Hope Farm Junction,Under Construction,,Possession date: Mar'19,1563 sq ft(3BHK+2T),3 BHK,"1,010 - 1,563 sq ft",₹ 37.37 L - ₹ 57.83 L,"2, 3 BHK",216,
Total Environment Pursuit of a Radical Rhapsody Apartment,Total Environment,Whitefield Hope Farm Junction,Under Construction,"Pursuit of a Radical Rhapsody Apartment is located on the  main road next to the lake at Hoodi. Homeowners here will have an expansive view of the lake and surrounding greenery. The apartment blocks have been positioned along the profile of the lake forming a crescent that offers ample landscaped space between the lake and apartments. The project location possesses the dual advantage of being nestled within a secluded and tranquil part of , yet being close to downtown . Whitefielt global culture and conveniences makes it the perfect neighbourhood. Its identity as India IT hub has resulted in international schools, hospitals, shopping malls, multiplexes etc. The upcoming Bangalore Metro Service phase II extension till  will offer residents rapid mass transit facilities to all parts of .",Possession date: Sep'19,6295 sq ft(4BHK+4T),4 BHK,"2,125 - 6,295 sq ft",₹ 1.69 Cr - ₹ 5.01 Cr,"3, 4 BHK",302,RERA ID: PR/KN/170731/000433
Sowparnika The Columns,Sowparnika Projects,Whitefield Hope Farm Junction,Under Construction,,Possession date: Dec'20,1412 sq ft(3BHK+3T),3 BHK,"330 - 1,412 sq ft",₹ 10.56 L - ₹ 45.17 L,"1, 2, 3 BHK",360,
Goyal Orchid Whitefield,Goyal and Co Hariyana Group,Whitefield Hope Farm Junction,Under Construction,"Whitefield Hope Farm Junction region of Bengaluru has an availability of nice and comfy apartments, which is built by the Goyal and Co and Hariyana Group Orchid Whitefield real Estate Company. The neighbourhood is well settled with facilities like high schools, bank, ATM, commercial complex, primary schools, ATMs, hospitals, bus stations, petrol pump, railway station, office complex, restaurants, metro station, parks etc. all are present near at hand. The total numbers of apartments provided by this project are many and they are all in an under construction stage. The price of the apartments is based on the request value. The amenities offered by this project are gym, club house, and playground for children, sports facility, multipurpose room and much more.",Possession date: Dec'20,1659 sq ft(3BHK+3T),3 BHK,"524 - 1,659 sq ft",Price on request,"1, 2, 3 BHK",492,RERA ID: PR/KN/170730/000402
Soundarya Paradise,Soundarya Constructions,Yeshwantpur,Under Construction,"Soundarya Constructions Paradise is situated in Yeshwantpur, Bangalore. The residential complex has 2 and 3BHK flats on offer which have carpet areas between 1045 and 1470 sq. ft. The flats up for sale number 97 and are available via resale and the builder. The properties are under construction currently. A plethora of facilities are offered in the community, including gymnasium, rainwater harvesting, kids’ play area, jogging track, club house and landscaped gardens. Yeshwantpur is a part of north Bangalore and is situated by the Tumkur Road. It has several companies such as BHEL and HMT in the vicinity. Some of the areas dotting its boundaries are Bel Road, Kamagondana, Gangamma Circle. BMTC buses ply through here which connect it to areas such as Hebbal.",Possession date: Nov'18,1685 sq ft(3BHK+3T),3 BHK,"1,030 - 1,685 sq ft",₹ 51.50 L - ₹ 84.25 L,"2, 3 BHK",97,RERA ID: PR/KN/171010/002211
RNS Shrinikethan,RNS,Yeshwantpur,Under Construction,,Possession date: Jun'19,3600 sq ft(4BHK+5T + Servant Room),4 BHK,"2,800 - 3,600 sq ft",₹ 2.38 Cr - ₹ 3.24 Cr,"3, 4 BHK",108,RERA ID: PR/KN/170808/001215
Jain Grand West,Jain Heights,Yeshwantpur,Under Construction,,Possession date: Mar'20,3396 sq ft(4BHK+4T),4 BHK,"1,313 - 3,396 sq ft",₹ 1.09 Cr - ₹ 2.58 Cr,"2, 3, 4 BHK",182,
Pratham Indraprastha,Pratham Constructions,Yeshwantpur,Under Construction,"Yashwantpur is situated in Bengaluru which is developing into a real estate region. The Pratham Constructions Indraprastha group is offering premium apartments. The project is all set for moving in. The project delivers other amenities like a gym, a playground for children, an intercom service, and a 24 hours power back up services along with a facility of car parking for each apartment. The neighbourhood of the project is has all requirements like a play schools, ATMs, banks, parks, metro stations, office complexes, restaurants etc. The price of the apartments is based on the request value.",Possession date: Dec'18,1655 sq ft(3BHK+3T),3 BHK,"1,250 - 1,655 sq ft",₹ 81.25 L - ₹ 1.08 Cr,"2, 3 BHK",253,
Golden CNTC The Presidential Tower,Golden CNTC,Yeshwantpur,Under Construction,"The Presidential Tower is a landmark residential project offering 3 and 4 BHK apartments of the Golden CNTC The Presidential Tower is being set up at the Yeshwantpur which is situated in Bangalore. This project offers apartments of varying sizes and prices catering to the varying needs and preferences of clients. The neighbourhood has all the necessary destinations like school, hospital, metro station, petrol pump, hospital, bank, ATM, market, bus stand, office complex, park etc. The total number of apartments offered by this project is plenty in number. The other modern day facilities offered by this project are gym, swimming pool, intercom services, a club house, a playground area and much more.",Possession date: Jun'21,5250 sq ft(4BHK+4T),4 BHK,"1,595 - 5,250 sq ft",₹ 2.15 Cr - ₹ 9.45 Cr,"3, 4 BHK",368,RERA ID: PR/KN/170731/000565
CoEvolve Northern Star,CoEvolve Estates,Jakkur,Under Construction,,Possession date: Dec'19,1785 sq ft(3BHK+3T),3 BHK,"636 - 1,785 sq ft",₹ 27.98 L - ₹ 78.52 L,"1, 2, 3 BHK",130,RERA ID: PR/KN/170729/000151
Legacy Cirocco,Legacy Global Project,Jakkur,Under Construction,"The Legacy Group presents Cirocco, a housing community in Jakkur, Bangalore. It has 3 and 4BHK apartments, the property is under construction and the units can be bought from the builder directly. Covering an expanse of 1.89 acer, the community has amenities on offer that include a gymnasium, swimming pool, multipurpose room, children’s play area and rainwater harvesting. Each unit has intercom services enabled within.The Legacy Group is one of the prominent real estate developers of Bangalore, having worked on seventeen projects. Eleven of their projects are under construction currently. Some of the areas where their projects are located include Yelahanka and Vasanth Nagar. Jakkur is a developing locality of North Bangalore and is near Nehru Nagar, Agrahara and Dasarahalli. The Manyata Tech Park is at a distance of 7.6 kilometres from here and Kirloskar Business Park is3.1 kilometres away. The City Railway Station is 35 kilometres away while railway station at Kodigehalli is at a distance of 4.5 kilometres from here.",Possession date: Dec'18,5850 sq ft(4BHK+4T + Servant Room),4 BHK,"4,150 - 5,850 sq ft",₹ 3.73 Cr - ₹ 5.26 Cr,"3, 4 BHK",94,RERA ID: PR/KN/170731/000900
Century Ethos,Century Real Estate,Jakkur,Under Construction,"Century Ethos is a housing property in Bangalor Jakkur. The community has 3 and 4BHK apartments. The units on sale are available through the developer. There are numerous amenities that home buyers can use such as swimming pool, gymnasium, club house, childrens play zone and round the clock security services. Founded in 1973, the Century Group has worked on thirty projects spread across Bangalore. Twelve of their properties are under construction. Some of them are in Kodigehalli and Jakkur. Jakkur is located 12.2 kilometers from the Bangalore City Railway Station. It is surrounded by areas such as Kempapura and Vidyaranyapura.",Possession date: Dec'20,5145 sq ft(4BHK+4T),4 BHK,"2,800 - 5,145 sq ft",₹ 2.66 Cr - ₹ 4.89 Cr,"3, 4 BHK",375,RERA ID: PR/KN/170729/000283
Century Breeze,Century Real Estate,Jakkur,Under Construction,"A premium housing project launched by Century, Breeze in Jakkur, Bangalore is offering Apartment starting at Rs 70.35 lacs. It offers 2, 3 BHK Apartment in Bangalore North. The project is Under Construction project and possession in Dec 17. Among the many luxurious amenities that the project boasts are Rain Water Harvesting, Swimming Pool, Lounge/Reception, Amphithreatre, Badminton Court etc. The Apartment are available from 1279 sqft to 2526 sqft at an attractive price points starting at @Rs 5,500 per sqft.",Possession date: Dec'19,2526 sq ft(3BHK+3T + Study Room),3 BHK,"1,279 - 2,526 sq ft",₹ 70.34 L - ₹ 1.39 Cr,"2, 3 BHK",322,RERA ID: PR/KN/170729/000324
Arvind Skylands,Arvind Infrastructure,Jakkur,Under Construction,,Possession date: Dec'20,1600 sq ft(3BHK+3T),3 BHK,"1,057 - 1,600 sq ft",₹ 42.27 L - ₹ 63.98 L,"2, 3 BHK",339,RERA ID: PR/KN/170731/000771
Brigade Northridge,Brigade Group,Jakkur,Under Construction,"Brigade Northridge, Bangalore, comes with 2 and 3 BHK apartments. Projects spreads over an area of seven acres. Key amenities offered to buyers in this project include a gymnasium, 24-hour security services, playing zone for kids, landscaped gardens, clubhouse, swimming pool, cafeteria, indoor game facilities, intercom facilities, jogging track, fitness centre, broadband internet connectivity and basketball court. Added amenities include a tennis court, Vastu compliant architectural layouts, badminton court, squash court, table tennis facilities, community hall and party lawn. Located at Jakkur, the project is well linked to the Manyata Tech Park and Kirloskar Business Park.",Possession started from: Jul'17,1930 sq ft(3BHK+3T),3 BHK,"1,230 - 1,930 sq ft",₹ 67.53 L - ₹ 1.06 Cr,"2, 3 BHK",503,
Milestone Grand,Milestone Builders,Jigani,Under Construction,"Located in Jigani, Bangalore, Grand is a premium housing project launched by Milestone Builders. The project offers Apartment in 1, 2, 3 BHK configurations available from 664 sqft to 1491 sqft. These units in Bangalore South, are available at an attractive price points starting at @Rs 3,200 per sqft and will be available to buyers at a starting price of Rs 21.25 lacs. The project is Under Construction project and possession in Dec 17. Grand has many amenities, such as Sports Facility, Children's play area, Swimming Pool, Fire Safety, Power Backup etc.",Possession date: Oct'18,1491 sq ft(3BHK+3T),3 BHK,"664 - 1,491 sq ft",₹ 21.25 L - ₹ 47.71 L,"1, 2, 3 BHK",80,
B And B Infrastructure The Spire,B And B Infrastructure,Jayanagar,Under Construction,,Possession date: Dec'19,3995 sq ft(4BHK+5T + Servant Room),4 BHK,"3,150 - 3,995 sq ft",₹ 3.46 Cr - ₹ 4.39 Cr,"3, 4 BHK",86,
NR Windgates,NR Greenwood Constructions,Jakkur,Under Construction,,Possession date: Dec'18,1570 sq ft(3BHK+3T   Pooja Room),3 BHK,"497 - 1,570 sq ft",₹ 18.64 L - ₹ 58.88 L,"1, 2, 3 BHK",279,RERA ID: PR/KN/170729/000322
DS Splendor Homes,DS Max Properties,Hesaraghatta,Under Construction,,Possession date: Jun'19,1026 sq ft(2BHK+2T),2 BHK,"952 - 1,026 sq ft",₹ 27.61 L - ₹ 29.75 L,2 BHK,35,
DS Spark Nest,DS Max Properties,Jakkur,Under Construction,"The construction company named DS Max Spark Nest is offering apartment of great quality and luxury in in Jakkur region of Bengaluru. The project is in an under construction stage. Different necessities like schools, banks, hospitals, petrol pumps, bus stations, restaurants, parks, ATMs, metro stations, etc. all are present near the project’s premises. This project has many facilities like a gym, rainwater harvesting system, playground for children, a jogging track, 24x7 security services, power backup etc., and it offers luxurious accommodation spaces. The price of the apartment is based on request.",Possession date: May'19,1615 sq ft(3BHK+3T),3 BHK,"834 - 1,615 sq ft",₹ 27.27 L,"2, 3 BHK",116,RERA ID: PR/KN/170830/001594
NCN Diamond,NCN,Jakkur,Under Construction,"Jakkur region of Bangalore is one of the popular areas because of the real estate projects. One of them is the NCN Developers Diamond Residency project which is delivering apartments of great value and quality. The region where this project is available is well acquainted by restaurant, bus station, atm, bank, train station, park, school, petrol pump, hospital, etc. The apartments are well engrossed with different quality materials and granite set kitchens. The different amenities offered by this project are playground for children, 24 hours security, excellent fire and safety system, a power back up system and much more. The project is all set for moving in purpose.",Possession date: Aug'19,1560 sq ft(3BHK+2T + Pooja Room),3 BHK,"995 - 1,560 sq ft",₹ 36.81 L - ₹ 57.72 L,"2, 3 BHK",48,RERA ID: PR/KN/170830/001636
GCN Brindavanam,GCN,Whitefield Hope Farm Junction,Under Construction,"GCN Brindavanam Bangalore is an upcoming residential project to be launched soon in the Whitefield locality of the city. The project will be featuring 2 and 3 bedroomed apartments in innovative and contemporary design styles that are assured to please modern day families and meet their expectations. GCN Brindavanam prices, size of apartments and floor plans can be availed on request. Interested buyers can purchase homes directly from the builder only. GCN Brindavanam residents will have access to a range of modern day amenities and facilities such as a gymnasium, swimming pool, intercom facilities, 24x7 security, children's play area, jogging track, rainwater harvesting, power backup, banquet hall with open lawn, indoor games facility etc. These vaastu friendly apartments are set amidst beautifully landscaped gardens the project also lies in close proximity to several commercial and civic establishments such as schools, shopping malls, banks, hospitals, entertainment centres, ATM etc. for easy access on a daily basis.",Possession date: Dec'18,1450 sq ft(3BHK+3T),3 BHK,"1,150 - 1,450 sq ft",₹ 40.25 L - ₹ 50.75 L,"2, 3 BHK",130,RERA ID: PR/KN/170807/001164
Umiya Woods,Umiya Group,Whitefield Hope Farm Junction,Under Construction,"Headquartered in Bangalore, Umiya set up base in 2000 and expanded to Goa in 2007. Since inception, Umiya has always strived to deliver quality and robust engineering coupled with uncompromising business ethics and transparency in business conduct.A tranquil haven in a bustling Bangalore. Where time runs a little slower, because everything you need is a little closer. Where you live, laugh and play a little longer, a home that is specially made so love grows stronger. Umiya Woods brings you the best of both worlds. With ITPL being within 2 km from home, you can combine the ease of city life with the peace of living in a natural environment. The time you save on traveling can be used to do all the things that make you truly happy. It is ideally located to maximize the benefits of contemporary living while keeping up with corporate life. Umiya Woods gives you meticulously designed two and three BHK apartments of unparalleled value with all the amenities to make life as comfortable as possible.",Possession date: Sep'18,2235 sq ft(3BHK+4T + Servant Room),3 BHK,"1,225 - 2,235 sq ft",₹ 61.25 L - ₹ 1.12 Cr,"2, 3 BHK",96,
Legacy Salvador,Legacy Global Project,Yelahanka,Under Construction,"Legacy Salvador has developed the best apartments in Yehlahanka region of Bengaluru. This project has the availability of premium apartments which are still in under construction stage. This is a designed residential area with the facility of 24 hours power backup facility, gym, club house, and much more. All required necessities like school, hospital, park, restaurant, bank, petrol pump, ATM, office complex, train station, metro station, play school, school for higher education, bus station etc are available in the neighbourhood. The total number of apartment which is offered by this project is plenty. The price of the apartments is based on the request value.",Possession date: Apr'20,3050 sq ft(5BHK+5T),5 BHK,"1,330 - 3,050 sq ft",₹ 75.81 L - ₹ 1.74 Cr,"2, 3, 4, 5 BHK",117,RERA ID: PR/KN/170731/000877
Unicon North Brooks 46,Unicon Shelters,Yelahanka,Under Construction,"Unicon Shelters is a well-known real estate group. They have completed several residential projects. Their upcoming project is North Brooks 46 located in Yelahanka, Bengaluru. The apartment is being constructed in a very ultra modern fashion and will be providing its residents with several amenities like a gym, a swimming pool, a children play area, a club house, 24*7 security etc. It is well connected to various parts of the city and all other civic and commercial establishments like banks, ATMs, schools colleges, railway stations, airports, bus stops are close by.",Possession date: Aug'19,2398 sq ft(3BHK+3T),3 BHK,"1,041 - 2,398 sq ft",₹ 46.84 L - ₹ 1.08 Cr,"2, 3 BHK",169,RERA ID: PR/KN/170728/000068
